model,regularization,lambda,error,rmse,activation_fn
"[11, 128, 32, 1]",None,0,0.04482590188519369,0.35772526665655296,relu,100,64
"[11, 128, 64, 1]",None,0,0.033774390454175345,0.3061300512050622,relu,100,64
"[11, 128, 64, 32, 1]",None,0,0.04657672352314769,0.4080719291007228,relu,100,64
"[11, 128, 64, 32, 1]",L1,0.001,0.03936065788773215,0.3695267898859205,relu,100,64
"[11, 128, 64, 32, 1]",L2,0.001,0.04756574482260951,0.4076686922616684,relu,100,64
"[11, 128, 64, 32, 1]",L1,0.1,0.04720121328728817,0.30367743137684444,relu,100,64
"[11, 128, 64, 32, 1]",L2,0.1,0.049476785634014406,0.39021884729560996,relu,100,64
"[11, 64, 1]",None,0,0.0414075739022402,0.3550514780163185,tanh,100,64
"[11, 128, 1]",None,0,0.05549789402058429,0.4019090568867678,tanh,100,64
"[11, 64, 32, 1]",None,0,0.031642158887780714,0.3189013370451939,tanh,100,64
"[11, 128, 32, 1]",None,0,0.025907017286946447,0.26705129708158126,tanh,100,64
"[11, 128, 64, 1]",None,0,0.017239442775760047,0.341232799287523,tanh,100,64
"[11, 128, 64, 32, 1]",None,0,0.023680723700832434,0.23907138755134846,tanh,100,64
"[11, 128, 64, 32, 1]",L1,0.001,0.02572988601022982,0.26132369321685106,tanh,100,64
"[11, 128, 64, 32, 1]",L2,0.001,0.02350021086008966,0.23329800499999126,tanh,100,64
"[11, 128, 64, 32, 1]",L1,0.1,0.034875019797979974,0.1373099525404909,tanh,100,64
"[11, 128, 64, 32, 1]",L2,0.1,0.03226375392166024,0.2364224595259289,tanh,100,64
"[11, 64, 32, 1]",None,0,0.07319052377900293,0.42732645439153183,relu,50,64
"[11, 128, 32, 1]",None,0,0.11132285447060909,0.5032600559314859,relu,50,64
"[11, 128, 64, 1]",None,0,0.07825093181268714,0.4309671227547598,relu,50,64
"[11, 128, 64, 32, 1]",None,0,0.05814761588962928,0.40588675281570913,relu,50,64
"[11, 128, 64, 32, 16, 1]",None,0,0.062159693696994645,0.41619689724181935,relu,50,64
"[11, 128, 64, 32, 16, 1]",L1,0.001,0.13404611842741254,0.5937117882187409,relu,50,64
"[11, 128, 64, 32, 16, 1]",L2,0.001,0.042787867895527215,0.37561471600198404,relu,50,64
"[11, 128, 64, 32, 16, 1]",L1,0.1,0.08219318132482312,0.414472019562337,relu,50,64
"[11, 128, 64, 32, 16, 1]",L2,0.1,0.06019167107996206,0.40503485699954345,relu,50,64
"[11, 64, 32, 1]",None,0,0.05687345286824435,0.3762666283149642,tanh,50,64
"[11, 128, 32, 1]",None,0,0.043905565234492516,0.3721255775933538,tanh,50,64
"[11, 128, 64, 1]",None,0,0.045972469949564124,0.3805613912207694,tanh,50,64
"[11, 128, 64, 32, 1]",None,0,0.042081019268715616,0.30249580185139435,tanh,50,64
"[11, 128, 64, 32, 16, 1]",None,0,0.0706829769617219,0.3069946220800579,tanh,50,64
"[11, 128, 64, 32, 16, 1]",L1,0.001,0.09277545119001887,0.3475102521521656,tanh,50,64
"[11, 128, 64, 32, 16, 1]",L2,0.001,0.07042284776431051,0.29951225199485776,tanh,50,64
"[11, 128, 64, 32, 16, 1]",L1,0.1,0.12518516495098145,0.3543606964529626,tanh,50,64
"[11, 128, 64, 32, 16, 1]",L2,0.1,0.08227976719058537,0.2823659593807191,tanh,50,64
"[11, 64, 32, 1]",None,0,0.04663441247385244,0.3789699042391161,relu,50,32
"[11, 128, 32, 1]",None,0,0.0410765876077317,0.3434156064596352,relu,50,32
"[11, 128, 64, 1]",None,0,0.03726918062172145,0.3381558886450982,relu,50,32
"[11, 128, 64, 32, 1]",None,0,0.03335358457453909,0.3077452346156076,relu,50,32
"[11, 128, 64, 32, 16, 1]",None,0,0.03206932369786611,0.3451181646374003,relu,50,32
"[11, 128, 64, 32, 16, 1]",L1,0.001,0.06552030976216615,0.4582364422547125,relu,50,32
"[11, 128, 64, 32, 16, 1]",L2,0.001,0.0369904175954173,0.4147485979969257,relu,50,32
"[11, 128, 64, 32, 16, 1]",L1,0.1,0.05532649330689424,0.30824194255628545,relu,50,32
"[11, 128, 64, 32, 16, 1]",L2,0.1,0.03763069512823448,0.31265266766483896,relu,50,32
"[11, 64, 32, 1]",None,0,0.03332609971326489,0.2556031394251853,tanh,50,32
"[11, 128, 32, 1]",None,0,0.023526437665385272,0.3360518523896605,tanh,50,32
"[11, 128, 64, 1]",None,0,0.017226370011083417,0.2650919158746102,tanh,50,32
"[11, 128, 64, 32, 1]",None,0,0.022959950973417884,0.23696170615934778,tanh,50,32
"[11, 128, 64, 32, 16, 1]",None,0,0.03794181554924902,0.2916725268793354,tanh,50,32
"[11, 128, 64, 32, 16, 1]",L1,0.001,0.04929870137919372,0.25753872659850263,tanh,50,32
"[11, 128, 64, 32, 16, 1]",L2,0.001,0.04531051581832395,0.22679171268806128,tanh,50,32
"[11, 128, 64, 32, 16, 1]",L1,0.1,0.0748810955163233,0.2264741795603701,tanh,50,32
"[11, 128, 64, 32, 16, 1]",L2,0.1,0.060810343884159325,0.1862558941538219,tanh,50,32
"[11, 128, 1]",None,0,0.06302877237396287,0.38439570010998675,relu,50,64
"[11, 64, 32, 1]",None,0,0.06832944447912657,0.44953044240618445,relu,50,64
"[11, 128, 32, 1]",None,0,0.07939941886785477,0.41086307017622736,relu,50,64
"[11, 128, 64, 1]",None,0,0.05212539951073966,0.38664868574770433,relu,50,64
"[11, 128, 64, 32, 1]",None,0,0.06694578119626134,0.45445511440161934,relu,50,64
"[11, 64, 1]",None,0,0.0758883955316098,0.4190168756366455,relu,50,64
"[11, 64, 1]",L1,0.001,0.06500422035780748,0.35442277290400814,relu,50,64
"[11, 64, 1]",L2,0.001,0.07859093258929319,0.41856694806799627,relu,50,64
"[11, 64, 1]",L1,0.1,0.08684338050849444,0.43768335735503083,relu,50,64
"[11, 64, 1]",L2,0.1,0.07000554784511945,0.3584729443053787,relu,50,64
"[11, 128, 1]",None,0,0.12091913911497428,0.5615859130525133,tanh,50,64
"[11, 64, 32, 1]",None,0,0.05538844205045614,0.3281166497839955,tanh,50,64
"[11, 128, 32, 1]",None,0,0.052667216613522874,0.3237651265627419,tanh,50,64
"[11, 128, 64, 1]",None,0,0.04710987601065358,0.42649816905390137,tanh,50,64
"[11, 128, 64, 32, 1]",None,0,0.042006158471511526,0.3018284756978828,tanh,50,64
"[11, 64, 1]",None,0,0.07542729288110424,0.47133507734112007,tanh,50,64
"[11, 64, 1]",L1,0.001,0.07588797770418401,0.478556917671085,tanh,50,64
"[11, 64, 1]",L2,0.001,0.07730751387097468,0.4838905588041217,tanh,50,64
"[11, 64, 1]",L1,0.1,0.07785137841385925,0.39910056153057033,tanh,50,64
"[11, 64, 1]",L2,0.1,0.07941185931061426,0.4666708661685909,tanh,50,64
"[11, 64, 1]",None,0,0.04911299900980598,0.3446561950016019,relu,70,32
"[11, 128, 1]",None,0,0.052056527156721336,0.3751063587011638,relu,70,32
"[11, 64, 32, 1]",None,0,0.03821701177141625,0.3137117405705102,relu,70,32
"[11, 128, 32, 1]",None,0,0.034469981955102244,0.3200379164596723,relu,70,32
"[11, 128, 64, 1]",None,0,0.028820631918141992,0.30401569670145334,relu,70,32
"[11, 128, 64, 32, 1]",None,0,0.044387675769623894,0.35262153222082376,relu,70,32
"[11, 128, 64, 32, 1]",L1,0.001,0.02820640631087121,0.3322847135571755,relu,70,32
"[11, 128, 64, 32, 1]",L2,0.001,0.02782190150498536,0.29621855207539827,relu,70,32
"[11, 128, 64, 32, 1]",L1,0.1,0.09459479221064801,0.43036313348340777,relu,70,32
"[11, 128, 64, 32, 1]",L2,0.1,0.025099878405172457,0.2510995656064015,relu,70,32
"[11, 64, 1]",None,0,0.02685600542206486,0.27035317406561055,tanh,70,32
"[11, 128, 1]",None,0,0.03993947637519612,0.31633973366459894,tanh,70,32
"[11, 64, 32, 1]",None,0,0.024598951805596823,0.32584276314521254,tanh,70,32
"[11, 128, 32, 1]",None,0,0.019688282128225952,0.2569001131801891,tanh,70,32
"[11, 128, 64, 1]",None,0,0.011902625692813,0.31597526758569516,tanh,70,32
"[11, 128, 64, 32, 1]",None,0,0.017251141825226333,0.22691181071844907,tanh,70,32
"[11, 128, 64, 32, 1]",L1,0.001,0.016560113364307728,0.2139633585575532,tanh,70,32
"[11, 128, 64, 32, 1]",L2,0.001,0.016971578556190685,0.23759338442932557,tanh,70,32
"[11, 128, 64, 32, 1]",L1,0.1,0.09978465903121377,0.359736190047176,tanh,70,32
"[11, 128, 64, 32, 1]",L2,0.1,0.03194397684457667,0.16266095686537166,tanh,70,32
